Country,ISO3,Inform Risk,Risk Class,Rank,Lack of Reliability (*),Hazard & Exposure,Natural,Earthquake,River Flood,Tsunami,Tropical Cyclone,Coastal flood,Drought,Epidemic,Human,Projected Conflict Risk,Current Highly Violent Conflict Intensity,Vulnerability,Socio-Economic Vulnerability,Development & Deprivation,Inequality,Economic Dependency,Vulnerable Groups,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,Lack of Coping Capacity,Institutional,DRR,Governance,Infrastructure,Communication,Physical infrastructure,Access to health care,Number of Missing Indicators,% of Missing Indicators,Countries in HVC,Recentness data (average years),Corruption
Afghanistan,AFG,8.1,Very High,4,3.047619048,8.7,5.7,8.7,7.3,0,0,0,8.6,6.9,10,10,10,8.5,8.3,8.7,9,6.9,8.6,10,2,4.3,7.3,7.1,5.6,7.1,7.2,6.3,8,7,6.3,6.5,8.1,4,0.078431373,YES,0.257142857,8
Albania,ALB,3.1,Low,104,2.873631841,3.4,5.7,8.3,4.6,6.8,0,7.4,4.4,4.5,0.1,0.1,0,2.1,2.4,1.9,1.5,4.2,1.7,2.9,0.2,0.5,0,1,0.4,4.2,5.7,x,5.7,2.3,2,1.4,3.4,6,0.117647059,,0.23880597,6.3
Algeria,DZA,3.6,Medium,81,1.899543379,3.8,3.2,7.9,3.6,1.4,0,0.7,1.6,3.5,4.4,6.3,0,2.8,2.4,2.9,3.7,0.2,3.2,5.3,0.3,1.2,0,0,0.4,4.4,5,3.5,6.5,3.7,2.9,4.1,4.1,0,0,,0.356164384,6.4
Angola,AGO,5.2,High,32,1.801801802,4.2,2.9,0.1,3.9,0,0,3.4,3.7,6.8,5.3,7.5,0,5.1,5.8,8,6.9,0.2,4.3,4.7,4.5,4.8,0.1,5.2,3.9,6.7,6.1,5.2,6.9,7.3,6.3,7.9,7.8,0,0,,0.337837838,6.7
Antigua and Barbuda,ATG,2.3,Low,151,6.666666667,2,3.7,5.1,0,0,8.2,4.3,0,3.3,0,0,0,1.7,2.4,2.2,x,2.7,0.9,0,0.1,0.5,0,5,1.7,3.6,5.4,5.4,5.3,1.3,0.2,0.7,3.1,18,0.352941176,,0.5,0
Argentina,ARG,2.9,Low,116,3.430845771,2.5,4.3,5.5,7.7,0,0,3.7,5.5,3.9,0.3,0.4,0,2.7,1.5,0.9,4.1,0.1,3.7,6,0.3,0.5,0.2,0.9,0.5,3.6,4.9,3.8,6,2.1,1.3,3,1.9,6,0.117647059,,0.343283582,6.3
Armenia,ARM,2.9,Low,116,2.628571429,2,3.5,7.3,5.3,0,0,0,3.1,5.1,0.1,0.2,0,2.8,1.8,1.5,1.8,2.3,3.7,5.9,0.3,0.7,0.6,0.4,0.5,4.5,6.5,7.5,5.5,1.6,1.4,1.2,2.1,3,0.058823529,,0.342857143,5.3
Australia,AUS,2.4,Low,143,3.428571429,2.7,4.7,0.1,5.4,5.7,4.1,6.2,7,2.3,0.2,0.3,0,2.3,0.4,0,1.7,0,3.8,6.1,0.1,0.3,0.5,0.9,0.5,2.1,2.4,2.4,2.3,1.7,1.8,3,0.2,10,0.196078431,,0.142857143,2.5
Austria,AUT,1.9,Very Low,166,4.444444444,1.5,2.5,3.9,7.2,0,0,0,1.1,2.4,0.3,0.4,0,3.2,0.3,0,1,0.1,5.3,8,0.1,0.3,0,0,0.1,1.5,2.2,2,2.4,0.7,1.6,0,0.6,13,0.254901961,,0.183333333,2.9
Azerbaijan,AZE,4.8,Medium,40,4.048484848,5,4,7.8,6.6,0,0,0,3.5,5.3,5.8,8.3,0,5,2.7,3.1,3.9,0.7,6.6,9.2,0.3,1.3,0,0.8,0.6,4.5,6.1,x,6.1,2.4,1.6,2.7,3,7,0.137254902,,0.409090909,7.7
Bahamas,BHS,2.1,Very Low,157,5.627118644,1.7,3.2,0.1,0,0,7.4,6.1,1.1,3.7,0,0,0,1.7,2,1.8,4.4,0,1.4,0.9,0.7,1,0,5,1.9,3.1,3.9,x,3.9,2.2,1.7,2,2.9,15,0.294117647,,0.305084746,3.6
Bahrain,BHR,1.4,Very Low,184,5.066666667,0.9,1.5,0.1,0,0,0,5.3,0,3.3,0.3,0.4,0,1,0.9,0.5,2.4,0,1,1.2,0.2,0.5,0,2.4,0.8,2.8,4.2,3.8,4.6,1.2,1,0,2.5,15,0.294117647,,0.2,5.8
Bangladesh,BGD,5.7,High,25,1.701408451,6.9,8.2,8.9,9.9,8.1,7.9,8.9,2.4,7.5,4.9,7,0,5.5,4.6,6.3,4.5,1.3,6.2,8.1,2,3.6,2.9,3.5,3,4.8,5,3,6.9,4.5,3.9,4.6,5,3,0.058823529,,0.169014085,7.6
